"ID","h (mm)","d1 (top) (mm)","d2 (bottom) (mm)","t (mm)","z0 [m]"
101,600,1000000,1000000,100,35400
102,2319,1000000,1000000,100,33081
103,2569,1000000,1000000,100,30512
104,2684,1000000,1000000,100,27828
105,2675,1000000,1000000,100,25153
106,2416,1000000,1000000,100,22737
107,2657,1000000,1000000,100,20080
108,2648,1000000,1000000,100,17432
109,2639,1000000,1000000,100,14793
110,2630,1000000,1000000,100,12163
111,2621,1000000,1000000,100,9542
112,2068,1000000,1000000,100,7474
113,2067,1000000,1000000,100,5407
114,2368,1000000,1000000,100,3039
115,2897,1000000,1000000,100,142
116,142,1000000,1000000,100,0
